ID_SERIE;TIPO_PROVA;DISCIPLINA;ID_SERIE_ITEM;ID_BLOCO;ID_POSICAO;ID_ITEM;DESCRITOR_HABILIDADE;GABARITO
3;Prova Regular;LP;3;1;1;34221;1;B
3;Prova Regular;LP;3;1;2;19835;3;C
3;Prova Regular;LP;3;1;3;34028;6;E
3;Prova Regular;LP;3;1;4;20249;13;D
3;Prova Regular;LP;3;1;5;65545;4;C
3;Prova Regular;LP;3;1;6;69632;20;E
3;Prova Regular;LP;9;1;7;20039;10;B
3;Prova Regular;LP;9;1;8;34741;16;A
3;Prova Regular;LP;9;1;9;34755;18;B
3;Prova Regular;LP;3;1;10;20299;9;B
3;Prova Regular;LP;3;1;11;45655;14;E
3;Prova Regular;LP;3;1;12;34351;15;C
3;Prova Regular;LP;3;1;13;70148;2;D
3;Prova Regular;LP;3;2;1;69688;1;D
3;Prova Regular;LP;3;2;2;69889;15;B
3;Prova Regular;LP;3;2;3;34070;8;A
3;Prova Regular;LP;3;2;4;34523;2;A
3;Prova Regular;LP;3;2;5;34390;5;E
3;Prova Regular;LP;3;2;6;65824;12;C
3;Prova Regular;LP;9;2;7;66119;16;D
3;Prova Regular;LP;9;2;8;33922;14;D
3;Prova Regular;LP;9;2;9;66061;11;D
3;Prova Regular;LP;3;2;10;46778;9;B
3;Prova Regular;LP;3;2;11;45650;10;E
3;Prova Regular;LP;3;2;12;45562;19;C
3;Prova Regular;LP;3;2;13;65810;13;D
3;Prova Regular;LP;3;3;1;34083;7;C
3;Prova Regular;LP;3;3;2;45564;18;B
3;Prova Regular;LP;3;3;3;69912;4;E
3;Prova Regular;LP;3;3;4;69874;19;B
3;Prova Regular;LP;3;3;5;68792;8;E
3;Prova Regular;LP;3;3;6;65241;9;E
3;Prova Regular;LP;9;3;7;34757;21;D
3;Prova Regular;LP;9;3;8;66130;17;D
3;Prova Regular;LP;9;3;9;69870;11;A
3;Prova Regular;LP;3;3;10;33949;10;E
3;Prova Regular;LP;3;3;11;34489;16;E
3;Prova Regular;LP;3;3;12;66563;5;A
3;Prova Regular;LP;3;3;13;33965;2;D
3;Prova Regular;LP;3;4;1;65287;2;E
3;Prova Regular;LP;3;4;2;45569;3;D
3;Prova Regular;LP;3;4;3;34520;7;C
3;Prova Regular;LP;3;4;4;19913;1;A
3;Prova Regular;LP;3;4;5;20032;6;C
3;Prova Regular;LP;3;4;6;65562;14;A
3;Prova Regular;LP;9;4;7;34727;17;A
3;Prova Regular;LP;9;4;8;34507;8;B
3;Prova Regular;LP;9;4;9;65710;11;C
3;Prova Regular;LP;3;4;10;45490;21;C
3;Prova Regular;LP;3;4;11;46724;16;A
3;Prova Regular;LP;3;4;12;34045;9;B
3;Prova Regular;LP;3;4;13;45651;6;E
3;Prova Regular;LP;3;5;1;65844;2;B
3;Prova Regular;LP;3;5;2;45545;7;A
3;Prova Regular;LP;3;5;3;51980N;16;E
3;Prova Regular;LP;3;5;4;34526;9;D
3;Prova Regular;LP;3;5;5;20076;4;A
3;Prova Regular;LP;3;5;6;20189;3;E
3;Prova Regular;LP;9;5;7;33927;1;D
3;Prova Regular;LP;9;5;8;68682;12;D
3;Prova Regular;LP;9;5;9;65753;13;A
3;Prova Regular;LP;3;5;10;65238;11;E
3;Prova Regular;LP;3;5;11;65848;14;A
3;Prova Regular;LP;3;5;12;45573;17;A
3;Prova Regular;LP;3;5;13;66699;20;C
3;Prova Regular;LP;3;6;1;19814;4;B
3;Prova Regular;LP;3;6;2;34362;5;E
3;Prova Regular;LP;3;6;3;69921;6;B
3;Prova Regular;LP;3;6;4;34301;17;D
3;Prova Regular;LP;3;6;5;69892;11;C
3;Prova Regular;LP;3;6;6;34629;10;C
3;Prova Regular;LP;9;6;7;66137;16;B
3;Prova Regular;LP;9;6;8;34324;18;C
3;Prova Regular;LP;9;6;9;34752;1;B
3;Prova Regular;LP;3;6;10;69717;15;A
3;Prova Regular;LP;3;6;11;66100;14;D
3;Prova Regular;LP;3;6;12;34000;13;B
3;Prova Regular;LP;3;6;13;34379;20;A
3;Prova Regular;LP;3;7;1;51480N;2;D
3;Prova Regular;LP;3;7;2;34556;5;C
3;Prova Regular;LP;3;7;3;34184;8;E
3;Prova Regular;LP;3;7;4;34513;19;E
3;Prova Regular;LP;3;7;5;69669;4;E
3;Prova Regular;LP;3;7;6;20623N;3;D
3;Prova Regular;LP;9;7;7;65021;14;A
3;Prova Regular;LP;9;7;8;20604;11;C
3;Prova Regular;LP;9;7;9;33912;1;C
3;Prova Regular;LP;3;7;10;69839;12;C
3;Prova Regular;LP;3;7;11;45505;15;D
3;Prova Regular;LP;3;7;12;34155;18;C
3;Prova Regular;LP;3;7;13;45543;21;C
3;Macrotipo 18 e 24;LP;3;2;2;45650;10;E
3;Macrotipo 18 e 24;LP;3;1;10;65810;13;D
3;Macrotipo 18 e 24;LP;3;1;1;65287;2;E
3;Macrotipo 18 e 24;LP;3;1;2;45569;3;D
3;Macrotipo 18 e 24;LP;3;1;6;19913;1;A
3;Macrotipo 18 e 24;LP;3;1;5;65562;14;A
3;Macrotipo 18 e 24;LP;9;1;7;34727;17;A
3;Macrotipo 18 e 24;LP;9;1;8;34507;8;B
3;Macrotipo 18 e 24;LP;9;1;9;65710;11;C
3;Macrotipo 18 e 24;LP;3;1;12;46724;16;A
3;Macrotipo 18 e 24;LP;3;1;11;34045;9;B
3;Macrotipo 18 e 24;LP;3;1;13;45651;6;E
3;Macrotipo 18 e 24;LP;3;1;3;45545;7;A
3;Macrotipo 18 e 24;LP;3;2;6;20189;3;E
3;Macrotipo 18 e 24;LP;3;1;4;34301;17;D
3;Macrotipo 18 e 24;LP;3;2;1;51480N;2;D
3;Macrotipo 18 e 24;LP;3;2;3;34184;8;E
3;Macrotipo 18 e 24;LP;3;2;4;34513;19;E
3;Macrotipo 18 e 24;LP;3;2;5;69669;4;E
3;Macrotipo 18 e 24;LP;9;2;7;65021;14;A
3;Macrotipo 18 e 24;LP;9;2;8;20604;11;C
3;Macrotipo 18 e 24;LP;9;2;9;33912;1;C
3;Macrotipo 18 e 24;LP;3;2;10;69839;12;C
3;Macrotipo 18 e 24;LP;3;2;11;45505;15;D
3;Macrotipo 18 e 24;LP;3;2;12;34155;18;C
3;Macrotipo 18 e 24;LP;3;2;13;45543;21;C
3;Prova Regular;MT;3;1;1;45522;20;C
3;Prova Regular;MT;3;1;2;22369;30;E
3;Prova Regular;MT;3;1;3;45551;5;D
3;Prova Regular;MT;3;1;4;69137;34;E
3;Prova Regular;MT;3;1;5;70451;19;B
3;Prova Regular;MT;3;1;6;66983;2;D
3;Prova Regular;MT;9;1;7;34891;1;D
3;Prova Regular;MT;9;1;8;34973;28;C
